six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.558600008,-0.486999989,-3.608799934,-0.274599999,-1.109899998,-0.1602,0.015,1.064900041,-1.844099998,-2.635299921,-0.404500008,0.154699996,,0.154699996
-0.385600001,-0.202600002,-2.919399977,-0.146899998,-1.109899998,0.043200001,-0.406599998,0.694199979,-0.542500019,-2.214400053,-0.47240001,0.071699999,,0.071699999
0.01,-0.600799978,-2.578799963,0.938199997,-0.219699994,-0.0535,-0.204999998,1.047299981,-5.366399765,-2.318500042,-1.151600003,0.125699997,,0.125699997
0.095899999,-0.576300025,-0.926299989,1.167899966,0.065300003,-0.044199999,-0.0013,1.217399955,-5.077799797,-2.579400063,-0.596899986,0.129700005,,0.129700005
0.367000014,-0.434599996,1.138700008,0.815299988,1.027400017,-0.0185,-0.055799998,1.214300036,-5.325200081,-2.604500055,-0.940800011,0.275200009,,0.275200009
0.34040001,-0.390599996,0.888100028,0.715200007,0.888800025,-0.028200001,-0.127200007,1.596899986,-5.215899944,-3.33039999,-0.626100004,0.351599991,,0.351599991
-0.340600014,0.481400013,-3.48239994,-1.886399984,-1.121000051,0.162499994,-0.048900001,1.557800055,-4.482600212,-2.681900024,-1.332299948,0.343600005,,0.343600005
-0.341300011,0.354200006,-3.401400089,-1.740800023,-1.068799973,0.0178,0.179800004,1.426100016,-5.430900097,-3.074599981,-0.701499999,0.319900006,,0.319900006
0.050500002,0.224000007,-2.264499903,-1.041000009,-0.236900002,0.0273,-0.106600001,1.021299958,-4.147600174,-2.296600103,-0.871900022,0.144600004,,0.144600004
0.022600001,-0.024800001,-1.191900015,-0.4014,0.163100004,0.053599998,0.067699999,1.244500041,-4.675300121,-2.796900034,-0.380400002,0.289299995,,0.289299995
0.128800005,0.0317,-0.620800018,-0.215800002,-0.063600004,0.115800001,-0.037700001,1.393599987,-3.077300072,-3.22390008,-0.437900007,0.131899998,,0.131899998
-0.027000001,-0.094300002,1.137500048,-0.085600004,-0.0032,0.01,0.098499998,1.437399983,-1.681699991,-3.324500084,-0.381700009,0.1796,,0.1796
0.069799997,-0.131500006,-0.252299994,0.215200007,0.0535,0.140000001,0.066799998,1.295099974,-0.810599983,-2.606699944,-0.659600019,0.150600001,,0.150600001
0.368900001,-0.0605,-1.845999956,0.434199989,0.298799992,0.083400004,-0.035500001,1.395599961,-0.073700003,-3.0631001,-0.220100001,0.065399997,,0.065399997
