ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
135.9340973,144.1738586,126.3620453,133.9999542,0.068719365,0.137469888,0.084379539,0.173146084,24,10,29,10
126.2966003,139.0158386,144.0084381,146.0032349,0.068597712,0.136546403,0.084769167,0.17199634,24,9,17,9
141.9129791,135.4738159,132.9240875,139.4277191,0.068679631,0.134615898,0.084094383,0.16926755,15,11,17,10
126.0207214,141.2580566,-28.70790863,136.3833466,0.069660865,0.133750111,0.083450474,0.168009728,20,9,50,10
138.5480347,147.1114807,137.7036438,139.3668518,0.071527511,0.131783456,0.081719689,0.165582299,15,10,14,11
-35.93677902,138.9618073,142.6124573,142.855423,0.074502848,0.130047455,0.080445789,0.162959963,50,9,17,12
129.9211731,141.5827484,132.1201019,130.9395142,0.07509318,0.129247114,0.079627745,0.160948277,15,9,30,17
138.0620422,131.9928436,132.9080505,141.3154755,0.075456589,0.127934039,0.078671172,0.159636706,12,14,16,11
140.4944153,139.2624817,139.4767303,144.8941193,0.076238818,0.127140284,0.077724673,0.158641919,12,9,20,9
146.3356018,143.9148102,137.9066467,137.3028107,0.07752423,0.125596985,0.076538056,0.156681627,11,9,16,9
142.2158356,138.0131073,137.6725311,138.9519043,0.077826574,0.124791868,0.075756103,0.155818656,10,9,17,9
139.8046722,135.6767883,145.9231262,138.8137207,0.084539607,0.11880599,0.073558785,0.149761975,10,9,15,9
131.0990295,145.1213989,136.0326691,140.8599091,0.089284062,0.115688823,0.072861418,0.145479977,14,10,12,12
129.5968628,142.6697693,138.9885712,136.6475067,0.0925126,0.113351069,0.072229572,0.142865703,18,9,13,9
143.6647491,135.1342468,142.6542206,145.3919067,0.093149453,0.112609476,0.072921582,0.142165735,12,9,17,9
-70.11607361,134.8502808,132.8699036,145.136673,0.096013069,0.111847572,0.073297426,0.141310319,50,9,19,12
-109.7818298,138.9153442,135.4533386,140.7654266,0.099451914,0.111020558,0.073333845,0.140686989,49,10,13,9
132.9432831,137.3268738,130.3468475,137.002243,0.103022173,0.108136609,0.073319182,0.137772739,19,9,25,12
122.1083984,140.7257538,131.4403229,138.5185852,0.102684878,0.107511513,0.072656408,0.136846259,35,9,19,12
-32.52236176,137.3145905,131.3267975,135.6424561,0.100971371,0.106847771,0.073009968,0.135883331,50,9,15,14
112.9549484,138.1672211,137.4072876,143.6550446,0.099608555,0.10608919,0.073313586,0.135266855,38,9,13,9
114.2889252,130.5932159,141.871109,133.6778564,0.094997466,0.103706159,0.07463263,0.133054122,40,14,16,10
-38.07319641,146.4881439,130.7120667,131.4082642,0.093987048,0.10301891,0.075294621,0.131952807,50,10,21,16
-35.73544312,142.2767487,136.2941589,136.8123779,0.092879787,0.102300748,0.075702578,0.131292447,50,10,19,10
-37.42753601,146.146225,140.9933014,133.2978516,0.091553941,0.101586878,0.075548202,0.13056159,50,10,15,10
104.7705612,134.0105286,140.1648407,138.5136108,0.091089331,0.100909457,0.075626247,0.129801974,41,9,14,10
106.1565018,137.0975189,131.2227325,136.9396667,0.090869583,0.100205734,0.075612083,0.129196271,40,10,11,9
-45.74751663,137.0618134,140.1439972,143.9225006,0.10061495,0.099074125,0.075706594,0.127894789,50,9,21,10
-37.93585205,138.0708923,135.4213562,135.5058136,0.103056505,0.098476537,0.076447278,0.127212003,50,9,22,9
100.7082062,132.9018555,128.3633881,139.4508362,0.103899293,0.097382605,0.076562293,0.126609206,48,17,27,9
113.0674438,140.4627228,144.4279175,146.935791,0.102215111,0.095896386,0.076820135,0.125352025,47,9,19,9
115.3167953,140.5753021,145.9134521,139.6466522,0.100589104,0.095339514,0.076931141,0.124718286,33,9,21,9
117.2533188,137.0278931,134.8550873,138.6958923,0.098691583,0.094684392,0.077426367,0.123970106,33,11,23,10
124.7047653,126.6188889,137.5505219,143.1291351,0.097354732,0.093434155,0.078596756,0.123298831,23,20,23,10
133.6594849,147.4262695,134.0869904,146.70784,0.096343003,0.092917554,0.079164445,0.122684985,16,9,16,9
131.7114716,135.0630798,134.4227905,144.3731995,0.09615086,0.092367806,0.079579972,0.121987507,16,9,19,10
